"model","forecast_date","location","horizon","temporal_resolution","target_variable","target_end_date","type","quantile","value","location_name","population","geo_type","geo_value","abbreviation","full_location_name"
"THieF_ensemble-mean",2021-05-29,"01",1,"day","inc hosp",2021-05-30,"quantile",0.01,24.3688048338763,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2021-05-29,"01",1,"day","inc hosp",2021-05-30,"quantile",0.025,28.8118054304422,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2021-05-29,"01",1,"day","inc hosp",2021-05-30,"quantile",0.05,32.9514659398921,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2021-05-29,"01",1,"day","inc hosp",2021-05-30,"quantile",0.1,38.2639941198234,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2021-05-29,"01",1,"day","inc hosp",2021-05-30,"quantile",0.15,41.959451075047,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2021-05-29,"01",1,"day","inc hosp",2021-05-30,"quantile",0.2,44.9220435775776,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2021-05-29,"01",1,"day","inc hosp",2021-05-30,"quantile",0.25,47.4820569932977,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2021-05-29,"01",1,"day","inc hosp",2021-05-30,"quantile",0.3,49.7957108019413,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2021-05-29,"01",1,"day","inc hosp",2021-05-30,"quantile",0.35,51.9522266972512,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2021-05-29,"01",1,"day","inc hosp",2021-05-30,"quantile",0.4,54.0098696727763,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2021-05-29,"01",1,"day","inc hosp",2021-05-30,"quantile",0.45,56.0112779376214,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2021-05-29,"01",1,"day","inc hosp",2021-05-30,"quantile",0.5,57.9912618536932,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2021-05-29,"01",1,"day","inc hosp",2021-05-30,"quantile",0.55,59.9815830666069,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2021-05-29,"01",1,"day","inc hosp",2021-05-30,"quantile",0.6,62.0146726754875,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2021-05-29,"01",1,"day","inc hosp",2021-05-30,"quantile",0.65,64.127496877971,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2021-05-29,"01",1,"day","inc hosp",2021-05-30,"quantile",0.7,66.3668511849532,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2021-05-29,"01",1,"day","inc hosp",2021-05-30,"quantile",0.75,68.7983277480338,"Alabama",4903185,"state","al","AL","Alabama"
"THieF_ensemble-mean",2021-05-29,"01",1,"day","inc hosp",2021-05-30,"quantile",0.8,71.5242800100205,"Alabama",4903185,"state","al","AL","Alabama"
