forecast_date,target,target_end_date,location,type,quantile,value
2021-03-29,inc hosp,2021-03-30,US,quantile,0.01,5225.861928817655
2021-03-29,inc hosp,2021-03-30,US,quantile,0.025,5497.987312216741
2021-03-29,inc hosp,2021-03-30,US,quantile,0.05,5732.030154517075
2021-03-29,inc hosp,2021-03-30,US,quantile,0.1,6001.866562675547
2021-03-29,inc hosp,2021-03-30,US,quantile,0.15,6183.923906208847
2021-03-29,inc hosp,2021-03-30,US,quantile,0.2,6328.617311513877
2021-03-29,inc hosp,2021-03-30,US,quantile,0.25,6452.751369520488
2021-03-29,inc hosp,2021-03-30,US,quantile,0.3,6564.227590134773
2021-03-29,inc hosp,2021-03-30,US,quantile,0.35,6667.526921811849
2021-03-29,inc hosp,2021-03-30,US,quantile,0.4,6765.547885909725
2021-03-29,inc hosp,2021-03-30,US,quantile,0.45,6860.3843030617945
2021-03-29,inc hosp,2021-03-30,US,quantile,0.5,6953.717124649489
2021-03-29,inc hosp,2021-03-30,US,quantile,0.55,7047.049946237184
2021-03-29,inc hosp,2021-03-30,US,quantile,0.6,7141.886363389253
2021-03-29,inc hosp,2021-03-30,US,quantile,0.65,7239.907327487129
2021-03-29,inc hosp,2021-03-30,US,quantile,0.7,7343.206659164205
2021-03-29,inc hosp,2021-03-30,US,quantile,0.75,7454.68287977849
2021-03-29,inc hosp,2021-03-30,US,quantile,0.8,7578.816937785101
2021-03-29,inc hosp,2021-03-30,US,quantile,0.85,7723.510343090131
2021-03-29,inc hosp,2021-03-30,US,quantile,0.9,7905.567686623431
2021-03-29,inc hosp,2021-03-30,US,quantile,0.95,8175.404094781903
2021-03-29,inc hosp,2021-03-30,US,quantile,0.975,8409.446937082237
2021-03-29,inc hosp,2021-03-30,US,quantile,0.99,8681.572320481322
2021-03-29,inc hosp,2021-03-31,US,quantile,0.01,4390.222728812012
2021-03-29,inc hosp,2021-03-31,US,quantile,0.025,4753.605037448331
2021-03-29,inc hosp,2021-03-31,US,quantile,0.05,5066.133869902656
2021-03-29,inc hosp,2021-03-31,US,quantile,0.1,5426.459598160637
2021-03-29,inc hosp,2021-03-31,US,quantile,0.15,5669.569656366066
2021-03-29,inc hosp,2021-03-31,US,quantile,0.2,5862.785823882062
2021-03-29,inc hosp,2021-03-31,US,quantile,0.25,6028.54809131701
2021-03-29,inc hosp,2021-03-31,US,quantile,0.3,6177.407730571842
2021-03-29,inc hosp,2021-03-31,US,quantile,0.35,6315.348370862478
2021-03-29,inc hosp,2021-03-31,US,quantile,0.4,6446.240549253667
2021-03-29,inc hosp,2021-03-31,US,quantile,0.45,6572.880246649982
2021-03-29,inc hosp,2021-03-31,US,quantile,0.5,6697.512119489053
2021-03-29,inc hosp,2021-03-31,US,quantile,0.55,6822.143992328123
2021-03-29,inc hosp,2021-03-31,US,quantile,0.6,6948.783689724438
2021-03-29,inc hosp,2021-03-31,US,quantile,0.65,7079.675868115627
2021-03-29,inc hosp,2021-03-31,US,quantile,0.7,7217.616508406263
