forecast_date,target,target_end_date,location,type,quantile,value
2021-03-22,inc hosp,2021-03-23,US,quantile,0.01,5091.054208240295
2021-03-22,inc hosp,2021-03-23,US,quantile,0.025,5366.212762692836
2021-03-22,inc hosp,2021-03-23,US,quantile,0.05,5602.864299432722
2021-03-22,inc hosp,2021-03-23,US,quantile,0.1,5875.708365209059
2021-03-22,inc hosp,2021-03-23,US,quantile,0.15,6059.794961058246
2021-03-22,inc hosp,2021-03-23,US,quantile,0.2,6206.101151775335
2021-03-22,inc hosp,2021-03-23,US,quantile,0.25,6331.618836060357
2021-03-22,inc hosp,2021-03-23,US,quantile,0.3,6444.337595835424
2021-03-22,inc hosp,2021-03-23,US,quantile,0.35,6548.788325220315
2021-03-22,inc hosp,2021-03-23,US,quantile,0.4,6647.90185314748
2021-03-22,inc hosp,2021-03-23,US,quantile,0.45,6743.795338448526
2021-03-22,inc hosp,2021-03-23,US,quantile,0.5,6838.1684687690595
2021-03-22,inc hosp,2021-03-23,US,quantile,0.55,6932.541599089593
2021-03-22,inc hosp,2021-03-23,US,quantile,0.6,7028.435084390639
2021-03-22,inc hosp,2021-03-23,US,quantile,0.65,7127.548612317804
2021-03-22,inc hosp,2021-03-23,US,quantile,0.7,7231.999341702695
2021-03-22,inc hosp,2021-03-23,US,quantile,0.75,7344.718101477762
2021-03-22,inc hosp,2021-03-23,US,quantile,0.8,7470.235785762784
2021-03-22,inc hosp,2021-03-23,US,quantile,0.85,7616.541976479873
2021-03-22,inc hosp,2021-03-23,US,quantile,0.9,7800.62857232906
2021-03-22,inc hosp,2021-03-23,US,quantile,0.95,8073.472638105397
2021-03-22,inc hosp,2021-03-23,US,quantile,0.975,8310.124174845281
2021-03-22,inc hosp,2021-03-23,US,quantile,0.99,8585.282729297824
2021-03-22,inc hosp,2021-03-24,US,quantile,0.01,4243.5924488968285
2021-03-22,inc hosp,2021-03-24,US,quantile,0.025,4611.133770931428
2021-03-22,inc hosp,2021-03-24,US,quantile,0.05,4927.2395843521745
2021-03-22,inc hosp,2021-03-24,US,quantile,0.1,5291.6893425806675
2021-03-22,inc hosp,2021-03-24,US,quantile,0.15,5537.581864228325
2021-03-22,inc hosp,2021-03-24,US,quantile,0.2,5733.0094454823175
2021-03-22,inc hosp,2021-03-24,US,quantile,0.25,5900.668908996455
2021-03-22,inc hosp,2021-03-24,US,quantile,0.3,6051.232288965707
2021-03-22,inc hosp,2021-03-24,US,quantile,0.35,6190.751698936378
2021-03-22,inc hosp,2021-03-24,US,quantile,0.4,6323.1419753656965
2021-03-22,inc hosp,2021-03-24,US,quantile,0.45,6451.231099951249
2021-03-22,inc hosp,2021-03-24,US,quantile,0.5,6577.289419859071
2021-03-22,inc hosp,2021-03-24,US,quantile,0.55,6703.347739766893
2021-03-22,inc hosp,2021-03-24,US,quantile,0.6,6831.436864352446
2021-03-22,inc hosp,2021-03-24,US,quantile,0.65,6963.827140781765
2021-03-22,inc hosp,2021-03-24,US,quantile,0.7,7103.346550752435
2021-03-22,inc hosp,2021-03-24,US,quantile,0.75,7253.909930721688
2021-03-22,inc hosp,2021-03-24,US,quantile,0.8,7421.569394235825
2021-03-22,inc hosp,2021-03-24,US,quantile,0.85,7616.9969754898175
2021-03-22,inc hosp,2021-03-24,US,quantile,0.9,7862.889497137475
2021-03-22,inc hosp,2021-03-24,US,quantile,0.95,8227.339255365969
2021-03-22,inc hosp,2021-03-24,US,quantile,0.975,8543.445068786714
2021-03-22,inc hosp,2021-03-24,US,quantile,0.99,8910.986390821314
2021-03-22,inc hosp,2021-03-25,US,quantile,0.01,4044.80489442241
2021-03-22,inc hosp,2021-03-25,US,quantile,0.025,4443.653897567565
2021-03-22,inc hosp,2021-03-25,US,quantile,0.05,4786.686043921394
2021-03-22,inc hosp,2021-03-25,US,quantile,0.1,5182.180139554654
2021-03-22,inc hosp,2021-03-25,US,quantile,0.15,5449.018128265985
2021-03-22,inc hosp,2021-03-25,US,quantile,0.2,5661.0925027573685
2021-03-22,inc hosp,2021-03-25,US,quantile,0.25,5843.03343261061
2021-03-22,inc hosp,2021-03-25,US,quantile,0.3,6006.422010739652
2021-03-22,inc hosp,2021-03-25,US,quantile,0.35,6157.825878141977
2021-03-22,inc hosp,2021-03-25,US,quantile,0.4,6301.493342490311
