forecast_date,target,target_end_date,location,type,quantile,value
2021-03-08,inc hosp,2021-03-09,US,quantile,0.01,5471.380526300842
2021-03-08,inc hosp,2021-03-09,US,quantile,0.025,5752.620820957505
2021-03-08,inc hosp,2021-03-09,US,quantile,0.05,5994.502989789575
2021-03-08,inc hosp,2021-03-09,US,quantile,0.1,6273.377639378178
2021-03-08,inc hosp,2021-03-09,US,quantile,0.15,6461.533041495241
2021-03-08,inc hosp,2021-03-09,US,quantile,0.2,6611.072990450254
2021-03-08,inc hosp,2021-03-09,US,quantile,0.25,6739.364951364122
2021-03-08,inc hosp,2021-03-09,US,quantile,0.3,6854.575097294514
2021-03-08,inc hosp,2021-03-09,US,quantile,0.35,6961.334467243077
2021-03-08,inc hosp,2021-03-09,US,quantile,0.4,7062.638669302712
2021-03-08,inc hosp,2021-03-09,US,quantile,0.45,7160.651657179388
2021-03-08,inc hosp,2021-03-09,US,quantile,0.5,7257.110686162971
2021-03-08,inc hosp,2021-03-09,US,quantile,0.55,7353.569715146555
2021-03-08,inc hosp,2021-03-09,US,quantile,0.6,7451.582703023231
2021-03-08,inc hosp,2021-03-09,US,quantile,0.65,7552.886905082866
2021-03-08,inc hosp,2021-03-09,US,quantile,0.7,7659.646275031429
2021-03-08,inc hosp,2021-03-09,US,quantile,0.75,7774.856420961821
2021-03-08,inc hosp,2021-03-09,US,quantile,0.8,7903.148381875689
2021-03-08,inc hosp,2021-03-09,US,quantile,0.85,8052.688330830701
2021-03-08,inc hosp,2021-03-09,US,quantile,0.9,8240.843732947764
2021-03-08,inc hosp,2021-03-09,US,quantile,0.95,8519.718382536368
2021-03-08,inc hosp,2021-03-09,US,quantile,0.975,8761.600551368438
2021-03-08,inc hosp,2021-03-09,US,quantile,0.99,9042.8408460251
2021-03-08,inc hosp,2021-03-10,US,quantile,0.01,4699.184039671315
2021-03-08,inc hosp,2021-03-10,US,quantile,0.025,5074.640083190786
2021-03-08,inc hosp,2021-03-10,US,quantile,0.05,5397.5529937268275
